공고명,기업명,경력,학력,우대,고용형태,급여,지역,시간,시작일,마감일,번호
[한국폴리텍대학제주캠퍼스]한국폴리텍대학 제주캠퍼스 무기계약직원(대학운영직_영선원) 채용 공고,한국폴리텍대학제주캠퍼스,관계없음,학력무관,보훈취업지원대상자/장애인우대,기간의정함이없는근로계약,,(63243)제주특별자치도제주시산천단동3길2/한국폴리텍대학제주캠퍼스,09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년07월09일,82
[한국폴리텍대학제주캠퍼스]한국폴리텍대학 제주캠퍼스 무기계약직원(조리원) 채용 공고,한국폴리텍대학제주캠퍼스,관계없음,학력무관,※기타우대사항은채용공고문참조,기간의정함이없는근로계약,,(63243)제주특별자치도제주시산천단동3길2/한국폴리텍대학제주캠퍼스,※상세근무시간-학기중근무시간:A조(06:00~15:00)/B조(07:00~16:00)/C조(09:00~18:00)-방학중근무시간:09:00~18:00주소정근로시간:40시간,,2023년07월09일,83
[(주)고암](주)고암 BTL운영사 서귀포의료원 기전기사 모집,(주)고암,관계없음,학력무관,장기근무가능자우대,12개월/계약기간만료후상용직전환검토,,(63585)제주특별자치도서귀포시장수로47/서귀포의료원(동홍동),※상세근무시간주간근무:(오전)8시30분~(오후)5시30분야간근무:(오후)17시30분~(익일오전)8시30분야간휴게시간:(오전)12시30분~(오전)3시30분휴게시간(12:30~13:30)주소정근로시간:40시간,,2023년07월10일,84
[(주)유니에스][서사라사거리 위치]아스타호텔 객실 하우스맨(H/K) 채용 공고,(주)유니에스,관계없음,학력무관,-해당직무경력자-인근지역거주자-즉시출근가능자(조정가능),기간의정함이없는근로계약,,(63182)제주특별자치도제주시서사로129/아스타호텔(삼도일동),08:00~17:00휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년07월10일,85
[제주특별자치도관광약자접근성안내센터]관광약자접근성안내세터 신규 직원 채용 공고,제주특별자치도관광약자접근성안내센터,관계없음,학력무관,장애인우대,기간의정함이없는근로계약,,(63122)제주특별자치도제주시선덕로23/1층관광약자접근성안내센터,09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년07월10일,86
[(주)유니에스][제주시청/터미널부근]아스타호텔 객실정비보조 및 오더 업무 채용 공고,(주)유니에스,관계없음,학력무관,-해당직무경력자-인근지역거주자-즉시출근가능자(조정가능),기간의정함이없는근로계약,,(63182)제주특별자치도제주시서사로129/아스타호텔(삼도일동),08:00~17:00휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년07월12일,87
[(주)유니에스]서귀칼호텔 락카관리 사원 모집,(주)유니에스,관계없음,학력무관,인근거주자우대호텔서비스경력자우대서비스마인드보유자우대자차소유자우대,기간의정함이없는근로계약,205만원,(63198)제주특별자치도제주시중앙로150/대한항공빌딩6층유니에스(이도일동),※상세근무시간주5일스케줄근무06:00~15:00/13:00~22:00휴게시간(11:00~12:00)주소정근로시간:40시간,,2023년07월12일,88
[(주)유니에스]서귀칼호텔 룸메이드 사원 모집,(주)유니에스,관계없음,학력무관,인근거주자우대호텔서비스경력자우대서비스마인드보유자우대,기간의정함이없는근로계약,급여:201만원,(63599)제주특별자치도서귀포시칠십리로242/서귀포칼호텔(토평동),※상세근무시간주5일스케줄근무08:30~17:30휴게시간(11:00~12:00)주소정근로시간:40시간,,2023년07월13일,89
[제주탐나씨푸드영어조합법인]식품제조(가공)회사에서 직원을 구합니다.,제주탐나씨푸드영어조합법인,관계없음,학력무관,-,기간의정함이없는근로계약,,(63313)제주특별자치도제주시명림로258(봉개동),08:30~17:30주소정근로시간:40시간,,2023년07월21일,90
[(주)유니에스][유니에스] 신화월드 객실 시설유지보수 사원 모집,(주)유니에스,관계없음,학력무관,-,기간의정함이없는근로계약,,(63522)제주특별자치도서귀포시안덕면신화역사로304번길38/신화월드,09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년07월31일,91
[대일라이팅]대일라이팅에서 판매및 사무보조하실분 모집합니다.,대일라이팅,관계없음,학력무관,-,기간의정함이없는근로계약,,(63236)제주특별자치도제주시연북로498(아라일동),근무시간협의가능09:00~17:00주소정근로시간:40시간,,2023년07월31일,92
[KTO파트너스]한국관광공사 중문골프장 코스관리직(기간제 근로자) 채용 공고,KTO파트너스,관계없음,학력무관,장기복무제대군인/운전면허증/장애인우대/(준)고령자(50세이상)우대,6개월,220만원,(63535)제주특별자치도서귀포시중문관광로72번길60/한국관광공사중문골프클럽코스관리팀(색달동),근무시간협의가능※상세근무시간08:00~17:30(휴게1시간30분)(스케줄근무로변경될수있음)휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년07월31일,93
[가족재활복지타운]가족재활복지타운 영양사 채용,가족재활복지타운,관계없음,학력무관,-,기간의정함이없는근로계약,,(63520)제주특별자치도서귀포시대정읍인안성로52-7/가족재활복지타운,※상세근무시간08:20~17:20(간혹17:40분까지근무시연장수당지급)휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년08월08일,94
효성그룹 페라리/테슬라 판금 경력직 채용 (장애인 우대),㈜FMK,신입·경력 (5년이상),고졸이상,기본우대장애인/ 기본우대 장애인/ 유관업무 경력자 ,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 강서구 ,주5일                                 (월~금) 09:00~18:00,상시채용,상시채용,95
[HYBE] 사무지원 장애인 특별전형 (계약직: 1년),㈜하이브,경력무관,대졸이상 (졸업예정자 가능),기본우대장애인/,계약직 근무기간 12개월,회사내규에 따름   - 면접 후 결정,서울시 용산구 ,주5일                                 (월~금) 10:00~19:00  탄력근무제,상시채용,상시채용,96
[신세계디에프] 보훈대상자/장애인 신입·경력 상시채용,(주)신세계디에프,경력무관,대졸이상,기본우대국가유공자 기본우대 국가유공자/ 장애인/ 보훈대상자 ,정규직    인턴 근무기간 3개월                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,서울시 중구 ,주5일                                 (월~금) 09:00~17:00,상시채용,상시채용,97
